 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,725,186.964,65.333,208.667,0.000,0.000,-90.000,724.000
2,69,162.857,82.089,216.328,0.000,0.000,-7.651,67.602
3,0,211.000,211.000,211.000,114.000,12.000,0.000,0.000
4,0,226.000,226.000,226.000,114.167,31.167,0.000,0.000
5,0,208.000,208.000,208.000,115.500,56.167,0.000,0.000
6,0,198.000,198.000,198.000,116.833,85.500,0.000,0.000
7,0,196.000,196.000,196.000,118.167,126.833,0.000,0.000
8,0,193.000,193.000,193.000,118.833,163.167,0.000,0.000
9,0,184.000,184.000,184.000,119.500,195.167,0.000,0.000
10,0,221.000,221.000,221.000,122.167,227.833,0.000,0.000
11,0,217.000,217.000,217.000,122.833,262.500,0.000,0.000
12,0,218.000,218.000,218.000,124.167,284.500,0.000,0.000
13,0,209.000,209.000,209.000,125.500,309.167,0.000,0.000
14,0,180.000,180.000,180.000,127.500,333.167,0.000,0.000
15,0,223.000,223.000,223.000,128.167,354.500,0.000,0.000
16,0,217.000,217.000,217.000,129.500,377.167,0.000,0.000
17,0,169.000,169.000,169.000,372.833,21.500,0.000,0.000
18,0,192.000,192.000,192.000,374.167,44.167,0.000,0.000
19,0,215.000,215.000,215.000,374.167,61.500,0.000,0.000
20,0,188.000,188.000,188.000,376.167,89.500,0.000,0.000
21,0,179.000,179.000,179.000,376.167,118.167,0.000,0.000
22,0,183.000,183.000,183.000,377.500,143.833,0.000,0.000
23,0,183.000,183.000,183.000,378.833,181.833,0.000,0.000
24,0,214.000,214.000,214.000,380.167,228.500,0.000,0.000
25,0,223.000,223.000,223.000,384.167,260.500,0.000,0.000
26,0,225.000,225.000,225.000,386.167,300.500,0.000,0.000
27,0,189.000,189.000,189.000,392.167,346.500,0.000,0.000
28,0,215.000,215.000,215.000,387.500,325.833,0.000,0.000
29,0,177.000,177.000,177.000,396.167,372.500,0.000,0.000
30,0,215.000,215.000,215.000,567.000,56.000,0.000,0.000
31,0,169.000,169.000,169.000,569.500,84.500,0.000,0.000
32,0,175.000,175.000,175.000,570.000,112.500,0.000,0.000
33,0,203.000,203.000,203.000,570.000,136.000,0.000,0.000
34,0,206.000,206.000,206.000,571.000,158.500,0.000,0.000
35,0,205.000,205.000,205.000,571.500,183.500,0.000,0.000
36,0,205.000,205.000,205.000,573.500,210.500,0.000,0.000
37,0,202.000,202.000,202.000,574.500,236.500,0.000,0.000
38,0,203.000,203.000,203.000,574.500,261.500,0.000,0.000
39,0,204.000,204.000,204.000,576.500,292.500,0.000,0.000
40,0,218.000,218.000,218.000,578.000,322.500,0.000,0.000
41,0,165.000,165.000,165.000,582.000,347.000,0.000,0.000
42,0,222.000,222.000,222.000,583.000,366.500,0.000,0.000
43,0,159.000,159.000,159.000,588.500,388.000,0.000,0.000
44,0,148.000,148.000,148.000,783.500,79.500,0.000,0.000
45,0,196.000,196.000,196.000,785.500,98.833,0.000,0.000
46,0,141.000,141.000,141.000,786.167,130.833,0.000,0.000
47,0,173.000,173.000,173.000,787.500,154.833,0.000,0.000
48,0,152.000,152.000,152.000,788.833,189.833,0.000,0.000
49,0,147.000,147.000,147.000,788.833,210.167,0.000,0.000
50,0,99.000,99.000,99.000,790.167,245.500,0.000,0.000
51,0,152.000,152.000,152.000,790.833,276.833,0.000,0.000
52,0,219.000,219.000,219.000,792.167,316.167,0.000,0.000
53,0,142.000,142.000,142.000,793.500,351.167,0.000,0.000
54,0,169.000,169.000,169.000,795.500,391.167,0.000,0.000
55,0,202.000,202.000,202.000,796.167,421.167,0.000,0.000
56,0,159.000,159.000,159.000,799.500,460.500,0.000,0.000
57,0,205.000,205.000,205.000,800.167,489.833,0.000,0.000
58,0,164.000,164.000,164.000,804.833,509.167,0.000,0.000
59,0,192.000,192.000,192.000,1261.500,192.500,0.000,0.000
60,0,202.000,202.000,202.000,1261.500,219.500,0.000,0.000
61,0,159.000,159.000,159.000,1261.500,242.500,0.000,0.000
62,0,145.000,145.000,145.000,1262.500,264.500,0.000,0.000
63,0,205.000,205.000,205.000,1263.000,282.000,0.000,0.000
64,0,209.000,209.000,209.000,1264.000,311.000,0.000,0.000
65,0,138.000,138.000,138.000,1266.000,332.500,0.000,0.000
66,0,149.000,149.000,149.000,1267.000,358.000,0.000,0.000
67,0,214.000,214.000,214.000,1268.000,409.500,0.000,0.000
68,0,133.000,133.000,133.000,1268.000,387.000,0.000,0.000
69,0,171.000,171.000,171.000,1270.000,432.500,0.000,0.000
70,0,186.000,186.000,186.000,1271.500,459.500,0.000,0.000
71,0,175.000,175.000,175.000,1274.000,485.500,0.000,0.000
72,0,185.000,185.000,185.000,1277.000,516.500,0.000,0.000
73,0,175.000,175.000,175.000,1279.000,530.000,0.000,0.000
