 ,Area,Mean,Min,Max,X,Y
1,0,19,19,19,613.000,31.000
2,0,112,112,112,617.167,58.833
3,0,181,181,181,619.167,88.167
4,0,223,223,223,620.500,116.167
5,0,223,223,223,621.833,141.500
6,0,135,135,135,623.167,172.833
7,0,233,233,233,624.500,204.833
8,0,193,193,193,627.833,234.833
9,0,197,197,197,628.500,265.500
10,0,191,191,191,629.833,295.500
11,0,186,186,186,631.167,328.167
12,0,193,193,193,632.500,365.500
13,0,194,194,194,633.833,400.833
14,0,129,129,129,635.167,437.500
15,0,174,174,174,638.500,479.500
16,0,204,204,204,639.833,510.167
17,0,170,170,170,643.833,545.500
18,0,187,187,187,645.167,574.833
19,0,175,175,175,648.500,600.167
20,0,135,135,135,657.167,633.500
21,0,114,114,114,860.500,37.500
22,0,205,205,205,865.833,61.500
23,0,86,86,86,867.167,90.833
24,0,214,214,214,869.167,122.833
25,0,228,228,228,871.167,160.167
26,0,185,185,185,872.500,191.500
27,0,236,236,236,873.833,226.833
28,0,203,203,203,876.500,263.500
29,0,219,219,219,878.500,298.167
30,0,200,200,200,879.167,334.167
31,0,189,189,189,881.167,371.500
32,0,184,184,184,883.167,406.167
33,0,220,220,220,885.167,439.500
34,0,194,194,194,887.167,476.167
35,0,203,203,203,888.500,506.833
36,0,178,178,178,891.833,536.167
37,0,230,230,230,893.167,564.167
38,0,182,182,182,895.833,590.167
39,0,210,210,210,899.167,617.500
40,0,60,60,60,1049.500,49.500
41,0,75,75,75,1052.500,84.000
42,0,109,109,109,1055.000,116.000
43,0,193,193,193,1057.500,139.000
44,0,222,222,222,1058.500,172.000
45,0,135,135,135,1059.000,196.500
46,0,222,222,222,1060.500,218.500
47,0,215,215,215,1062.000,242.500
48,0,224,224,224,1062.500,266.500
49,0,216,216,216,1063.500,290.000
50,0,212,212,212,1064.500,321.500
51,0,205,205,205,1066.000,346.000
52,0,198,198,198,1067.500,368.500
53,0,204,204,204,1068.500,397.000
54,0,211,211,211,1069.500,419.500
55,0,220,220,220,1071.000,448.500
56,0,133,133,133,1072.000,473.000
57,0,124,124,124,1073.000,496.500
58,0,227,227,227,1074.500,519.500
59,0,129,129,129,1076.000,545.000
60,0,227,227,227,1078.500,569.000
61,0,129,129,129,1079.000,591.000
62,0,146,146,146,1081.000,610.500
63,0,195,195,195,1084.000,634.500
64,0,122,122,122,1261.500,25.500
65,0,122,122,122,1265.000,50.500
66,0,199,199,199,1266.000,75.000
67,0,214,214,214,1268.500,100.000
68,0,194,194,194,1270.500,126.000
69,0,197,197,197,1271.500,149.000
70,0,190,190,190,1272.000,173.500
71,0,142,142,142,1273.000,201.000
72,0,233,233,233,1274.500,233.500
73,0,220,220,220,1275.500,263.000
74,0,185,185,185,1277.500,288.500
75,0,179,179,179,1278.000,314.000
76,0,145,145,145,1279.000,338.000
77,0,139,139,139,1280.000,365.000
78,0,224,224,224,1281.500,392.000
79,0,210,210,210,1283.500,415.000
80,0,205,205,205,1284.000,435.500
81,0,220,220,220,1286.000,464.500
82,0,199,199,199,1287.000,486.000
83,0,151,151,151,1288.000,506.500
84,0,237,237,237,1290.500,531.000
85,0,206,206,206,1291.500,553.500
86,0,219,219,219,1293.000,574.000
87,0,158,158,158,1294.000,594.000
88,0,124,124,124,1294.500,610.000
89,0,170,170,170,1297.000,622.500
90,0,166,166,166,1634.500,27.500
91,0,69,69,69,1636.500,64.167
92,0,135,135,135,1639.833,101.500
93,0,135,135,135,1641.167,145.500
94,0,207,207,207,1644.500,176.833
95,0,139,139,139,1645.167,214.833
96,0,216,216,216,1647.833,252.167
97,0,144,144,144,1649.167,286.167
98,0,143,143,143,1649.833,311.500
99,0,213,213,213,1651.833,340.833
100,0,193,193,193,1655.167,374.833
101,0,185,185,185,1654.500,405.500
102,0,199,199,199,1656.500,433.500
103,0,135,135,135,1657.167,463.500
104,0,129,129,129,1659.167,498.167
105,0,128,128,128,1661.167,529.500
106,0,228,228,228,1663.833,549.500
107,0,229,229,229,1665.833,573.500
108,0,229,229,229,1667.833,592.833
109,0,124,124,124,1669.167,609.500
110,0,142,142,142,1673.833,626.167
