 ,Area,Mean,Min,Max,X,Y
1,0,150,150,150,887.000,18.000
2,0,180,180,180,890.833,33.500
3,0,202,202,202,894.833,45.500
4,0,207,207,207,897.833,59.500
5,0,212,212,212,900.500,75.167
6,0,219,219,219,902.833,91.167
7,0,93,93,93,905.167,104.833
8,0,208,208,208,907.500,116.833
9,0,206,206,206,910.500,130.500
10,0,177,177,177,912.833,144.833
11,0,199,199,199,916.500,158.833
12,0,196,196,196,919.500,173.167
13,0,190,190,190,924.833,187.833
14,0,212,212,212,930.500,201.167
15,0,156,156,156,938.167,213.833
16,0,117,117,117,948.833,223.833
17,0,170,170,170,1067.500,23.000
18,0,201,201,201,1071.500,43.000
19,0,182,182,182,1076.000,65.500
20,0,13,13,13,1078.000,85.000
21,0,69,69,69,1081.000,106.000
22,0,69,69,69,1083.500,130.000
23,0,222,222,222,1087.500,153.000
24,0,91,91,91,1090.000,176.000
25,0,98,98,98,1093.000,198.500
26,0,212,212,212,1097.500,218.500
27,0,100,100,100,1101.500,239.500
28,0,223,223,223,1108.500,257.000
29,0,201,201,201,1244.833,28.833
30,0,194,194,194,1249.500,59.500
31,0,82,82,82,1252.000,83.500
32,0,80,80,80,1255.000,110.500
33,0,86,86,86,1257.000,135.500
34,0,91,91,91,1261.000,164.000
35,0,110,110,110,1264.000,187.000
36,0,205,205,205,1267.500,207.000
37,0,107,107,107,1270.000,227.000
38,0,221,221,221,1275.500,248.000
39,0,202,202,202,1283.000,266.500
40,0,236,236,236,1451.500,10.000
41,0,248,248,248,1455.000,32.500
42,0,217,217,217,1457.500,53.500
43,0,220,220,220,1460.000,74.500
44,0,212,212,212,1462.000,95.500
45,0,216,216,216,1463.500,115.500
46,0,199,199,199,1466.500,139.000
47,0,169,169,169,1468.500,159.000
48,0,187,187,187,1470.500,184.000
49,0,180,180,180,1475.500,213.500
50,0,190,190,190,1480.000,243.000
51,0,193,193,193,1487.500,269.500
52,0,42,42,42,1602.500,26.500
53,0,21,21,21,1601.833,45.500
54,0,44,44,44,1610.500,78.167
55,0,45,45,45,1613.833,103.500
56,0,59,59,59,1615.833,127.500
57,0,68,68,68,1619.167,152.167
58,0,212,212,212,1623.833,178.833
59,0,97,97,97,1627.167,200.833
60,0,104,104,104,1631.167,228.833
61,0,104,104,104,1637.833,252.833
62,0,95,95,95,1644.500,269.500
63,0,125,125,125,1933.167,16.167
64,0,212,212,212,1937.833,48.833
65,0,181,181,181,1942.500,82.167
66,0,196,196,196,1946.500,109.500
67,0,216,216,216,1948.500,138.167
68,0,226,226,226,1952.500,170.167
69,0,103,103,103,1955.833,201.500
70,0,113,113,113,1961.167,237.500
71,0,220,220,220,1966.500,260.833
72,0,151,151,151,1973.167,288.167
73,0,227,227,227,1981.167,304.167
74,0,220,220,220,2159.500,26.500
75,0,255,255,255,2165.167,60.167
76,0,203,203,203,2169.167,95.500
77,0,105,105,105,2171.833,125.500
78,0,94,94,94,2175.833,163.500
79,0,218,218,218,2181.833,202.167
80,0,217,217,217,2184.500,227.500
81,0,118,118,118,2187.833,252.833
82,0,113,113,113,2193.167,281.500
83,0,113,113,113,2198.500,314.167
84,0,196,196,196,2209.167,341.500
85,0,152,152,152,2215.833,353.500
