 ,Area,Mean,Min,Max,X,Y,Slice
1,0,109,109,109,135.000,654.000,1
2,0,200,200,200,136.500,637.500,1
3,0,207,207,207,137.500,617.500,1
4,0,204,204,204,138.500,598.500,1
5,0,186,186,186,139.500,576.500,1
6,0,204,204,204,139.500,559.500,1
7,0,212,212,212,140.500,542.500,1
8,0,208,208,208,140.500,524.500,1
9,0,208,208,208,141.500,507.500,1
10,0,212,212,212,142.500,490.500,1
11,0,212,212,212,143.500,474.500,1
12,0,204,204,204,143.500,458.500,1
13,0,205,205,205,144.500,442.500,1
14,0,204,204,204,144.500,424.500,1
15,0,212,212,212,145.500,404.500,1
16,0,226,226,226,146.500,387.500,1
17,0,220,220,220,146.500,370.500,1
18,0,215,215,215,146.500,353.500,1
19,0,213,213,213,147.500,337.500,1
20,0,195,195,195,148.500,318.500,1
21,0,193,193,193,149.500,301.500,1
22,0,195,195,195,150.500,286.500,1
23,0,200,200,200,151.500,267.500,1
24,0,206,206,206,152.500,250.500,1
25,0,206,206,206,154.500,238.500,1
26,0,178,178,178,628.500,694.500,1
27,0,191,191,191,630.500,679.500,1
28,0,208,208,208,632.500,664.500,1
29,0,215,215,215,633.500,648.500,1
30,0,208,208,208,634.500,630.500,1
31,0,199,199,199,635.500,614.500,1
32,0,206,206,206,635.500,598.500,1
33,0,205,205,205,636.500,587.500,1
34,0,200,200,200,637.500,574.500,1
35,0,202,202,202,637.500,560.500,1
36,0,209,209,209,639.500,546.500,1
37,0,207,207,207,638.500,528.500,1
38,0,205,205,205,640.500,515.500,1
39,0,214,214,214,640.500,497.500,1
40,0,207,207,207,641.500,481.500,1
41,0,207,207,207,641.500,467.500,1
42,0,173,173,173,643.500,455.500,1
43,0,176,176,176,643.500,439.500,1
44,0,197,197,197,643.500,422.500,1
45,0,207,207,207,643.500,405.500,1
46,0,190,190,190,644.500,391.500,1
47,0,193,193,193,645.500,376.500,1
48,0,178,178,178,646.500,359.500,1
49,0,214,214,214,645.500,341.500,1
50,0,213,213,213,646.500,323.500,1
51,0,206,206,206,647.500,304.500,1
52,0,205,205,205,648.500,290.500,1
53,0,218,218,218,648.500,273.500,1
54,0,217,217,217,649.500,259.500,1
55,0,216,216,216,651.500,246.500,1
56,0,184,184,184,651.500,231.500,1
57,0,187,187,187,849.500,691.500,1
58,0,223,223,223,851.500,678.500,1
59,0,222,222,222,852.500,668.500,1
60,0,222,222,222,854.500,658.500,1
61,0,222,222,222,854.500,647.500,1
62,0,223,223,223,855.500,635.500,1
63,0,215,215,215,856.500,625.500,1
64,0,223,223,223,856.500,612.500,1
65,0,223,223,223,857.500,601.500,1
66,0,223,223,223,858.500,589.500,1
67,0,229,229,229,858.500,578.500,1
68,0,229,229,229,859.500,567.500,1
69,0,229,229,229,859.500,555.500,1
70,0,222,222,222,859.500,543.500,1
71,0,222,222,222,860.500,531.500,1
72,0,222,222,222,861.500,516.500,1
73,0,223,223,223,861.500,499.500,1
74,0,222,222,222,862.500,484.500,1
75,0,223,223,223,863.500,470.500,1
76,0,222,222,222,863.500,457.500,1
77,0,222,222,222,863.500,443.500,1
78,0,223,223,223,864.500,431.500,1
79,0,223,223,223,864.500,418.500,1
80,0,223,223,223,864.500,405.500,1
81,0,223,223,223,865.500,390.500,1
82,0,223,223,223,866.500,381.500,1
83,0,223,223,223,866.500,367.500,1
84,0,223,223,223,867.500,353.500,1
85,0,223,223,223,867.500,337.500,1
86,0,223,223,223,868.500,320.500,1
87,0,223,223,223,868.500,303.500,1
88,0,223,223,223,869.500,290.500,1
89,0,222,222,222,869.500,276.500,1
90,0,222,222,222,870.500,268.500,1
91,0,222,222,222,870.500,254.500,1
92,0,206,206,206,870.500,242.500,1
93,0,109,109,109,873.500,229.500,1
94,0,205,205,205,1042.500,689.500,1
95,0,223,223,223,1044.500,674.500,1
96,0,218,218,218,1045.500,661.500,1
97,0,229,229,229,1048.500,649.500,1
98,0,220,220,220,1049.500,635.500,1
99,0,220,220,220,1050.500,625.500,1
100,0,215,215,215,1050.500,614.500,1
101,0,215,215,215,1051.500,599.500,1
102,0,222,222,222,1052.500,584.500,1
103,0,224,224,224,1052.500,568.500,1
104,0,229,229,229,1053.500,558.500,1
105,0,233,233,233,1053.500,545.500,1
106,0,222,222,222,1054.500,532.500,1
107,0,215,215,215,1055.500,518.500,1
108,0,222,222,222,1055.500,502.500,1
109,0,229,229,229,1055.500,483.500,1
110,0,218,218,218,1056.500,471.500,1
111,0,216,216,216,1057.500,452.500,1
112,0,223,223,223,1058.500,434.500,1
113,0,223,223,223,1058.500,420.500,1
114,0,222,222,222,1059.500,405.500,1
115,0,223,223,223,1059.500,389.500,1
116,0,216,216,216,1060.500,378.500,1
117,0,209,209,209,1060.500,361.500,1
118,0,223,223,223,1061.500,351.500,1
119,0,223,223,223,1061.500,335.500,1
120,0,223,223,223,1063.500,320.500,1
121,0,223,223,223,1063.500,307.500,1
122,0,223,223,223,1063.500,292.500,1
123,0,229,229,229,1064.500,277.500,1
124,0,227,227,227,1065.500,260.500,1
125,0,220,220,220,1065.500,248.500,1
126,0,183,183,183,1065.500,234.500,1
