 ,Area,Mean,Min,Max,X,Y
1,0,211,211,211,105.000,672.000
2,0,209,209,209,127.500,649.500
3,0,213,213,213,146.167,621.500
4,0,215,215,215,168.833,589.500
5,0,213,213,213,180.833,557.500
6,0,209,209,209,195.500,526.833
7,0,204,204,204,212.833,490.833
8,0,201,201,201,228.833,457.500
9,0,210,210,210,244.833,425.500
10,0,198,198,198,260.833,386.833
11,0,200,200,200,287.500,356.167
12,0,210,210,210,315.500,324.167
13,0,203,203,203,346.167,293.500
14,0,206,206,206,364.833,265.500
15,0,228,228,228,408.833,229.500
16,0,223,223,223,444.833,197.500
17,0,224,224,224,458.167,176.167
18,0,216,216,216,480.833,156.167
19,0,221,221,221,507.500,128.167
20,0,218,218,218,532.833,108.167
21,0,223,223,223,555.500,80.167
22,0,212,212,212,575.500,58.833
23,0,212,212,212,590.167,38.833
24,0,221,221,221,608.833,22.833
