 ,Area,Mean,Min,Max,X,Y
1,0,220,220,220,316.000,713.000
2,0,213,213,213,315.500,690.500
3,0,195,195,195,316.833,669.167
4,0,195,195,195,318.167,645.167
5,0,198,198,198,318.167,618.500
6,0,194,194,194,319.500,590.500
7,0,201,201,201,320.833,562.500
8,0,129,129,129,320.833,530.500
9,0,135,135,135,322.167,502.500
10,0,207,207,207,324.833,471.833
11,0,203,203,203,326.167,439.833
12,0,135,135,135,326.167,406.500
13,0,184,184,184,330.167,371.833
14,0,190,190,190,331.500,339.833
15,0,188,188,188,332.833,311.833
16,0,129,129,129,334.167,281.167
17,0,204,204,204,338.167,255.833
18,0,207,207,207,344.833,231.833
19,0,212,212,212,698.167,710.500
20,0,205,205,205,698.167,670.500
21,0,201,201,201,700.833,631.833
22,0,207,207,207,703.500,593.167
23,0,195,195,195,703.500,563.833
24,0,191,191,191,704.833,535.833
25,0,189,189,189,706.167,507.833
26,0,128,128,128,706.167,478.500
27,0,187,187,187,708.833,455.833
28,0,186,186,186,708.833,425.167
29,0,182,182,182,710.167,394.500
30,0,188,188,188,711.500,363.833
31,0,181,181,181,712.833,333.167
32,0,182,182,182,714.167,301.167
33,0,195,195,195,715.500,274.500
34,0,188,188,188,716.833,241.167
35,0,125,125,125,718.167,213.167
36,0,215,215,215,720.833,191.833
37,0,207,207,207,726.167,179.833
38,0,194,194,194,1003.500,710.500
39,0,151,151,151,1004.833,677.167
40,0,185,185,185,1007.500,646.500
41,0,192,192,192,1008.833,621.167
42,0,187,187,187,1010.167,591.833
43,0,191,191,191,1011.500,562.500
44,0,191,191,191,1012.833,529.167
45,0,180,180,180,1012.833,491.833
46,0,180,180,180,1014.167,462.500
47,0,175,175,175,1015.500,434.500
48,0,186,186,186,1015.500,409.167
49,0,178,178,178,1016.833,387.833
50,0,186,186,186,1016.833,371.833
51,0,124,124,124,1016.833,345.167
52,0,176,176,176,1019.500,319.833
53,0,176,176,176,1019.500,297.167
54,0,175,175,175,1019.500,273.167
55,0,182,182,182,1020.833,251.833
56,0,150,150,150,1022.167,227.833
57,0,218,218,218,1023.500,203.833
58,0,213,213,213,1024.833,189.167
59,0,183,183,183,1026.167,173.167
