 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,279,92.849,77.333,126.333,0.000,0.000,0,278
2,663,142.828,28.000,225.667,0.000,0.000,-90,662
3,321080,158.417,0.000,244.000,0.000,0.000,0,0
4,0,94.000,94.000,94.000,199.500,331.167,0,0
5,0,94.000,94.000,94.000,201.833,316.500,0,0
6,0,212.000,212.000,212.000,203.167,299.833,0,0
7,0,101.000,101.000,101.000,206.167,284.167,0,0
8,0,95.000,95.000,95.000,210.167,262.500,0,0
9,0,147.000,147.000,147.000,213.167,245.833,0,0
10,0,81.000,81.000,81.000,217.167,232.833,0,0
11,0,86.000,86.000,86.000,221.500,217.833,0,0
12,0,90.000,90.000,90.000,227.500,202.833,0,0
13,0,77.000,77.000,77.000,235.833,186.500,0,0
14,0,89.000,89.000,89.000,246.167,173.167,0,0
15,0,90.000,90.000,90.000,255.167,160.833,0,0
16,0,69.000,69.000,69.000,264.833,146.167,0,0
17,0,118.000,118.000,118.000,273.833,129.833,0,0
18,0,118.000,118.000,118.000,283.500,113.167,0,0
19,0,162.000,162.000,162.000,294.500,99.833,0,0
20,0,83.000,83.000,83.000,306.167,89.833,0,0
21,0,86.000,86.000,86.000,315.833,71.833,0,0
22,0,96.000,96.000,96.000,329.833,53.167,0,0
23,0,154.000,154.000,154.000,343.500,38.500,0,0
24,0,103.000,103.000,103.000,414.500,335.000,0,0
25,0,188.000,188.000,188.000,417.000,313.500,0,0
26,0,156.000,156.000,156.000,419.250,298.500,0,0
27,0,108.000,108.000,108.000,421.500,282.250,0,0
28,0,216.000,216.000,216.000,424.250,258.500,0,0
29,0,108.000,108.000,108.000,427.750,241.750,0,0
30,0,108.000,108.000,108.000,430.750,228.000,0,0
31,0,196.000,196.000,196.000,433.000,216.500,0,0
32,0,99.000,99.000,99.000,438.750,200.250,0,0
33,0,165.000,165.000,165.000,444.000,186.750,0,0
34,0,121.000,121.000,121.000,450.000,175.250,0,0
35,0,83.000,83.000,83.000,456.750,164.750,0,0
36,0,81.000,81.000,81.000,463.750,153.750,0,0
37,0,163.000,163.000,163.000,472.750,143.250,0,0
38,0,85.000,85.000,85.000,485.750,140.000,0,0
39,0,200.000,200.000,200.000,498.000,130.250,0,0
40,0,105.000,105.000,105.000,508.750,119.500,0,0
41,0,191.000,191.000,191.000,520.250,111.250,0,0
42,0,188.000,188.000,188.000,532.000,98.500,0,0
43,0,168.000,168.000,168.000,545.000,87.250,0,0
44,0,231.000,231.000,231.000,556.250,75.250,0,0
45,0,190.000,190.000,190.000,566.500,68.000,0,0
46,0,114.000,114.000,114.000,574.750,62.000,0,0
47,0,85.000,85.000,85.000,621.500,347.000,0,0
48,0,136.000,136.000,136.000,624.167,328.833,0,0
49,0,104.000,104.000,104.000,626.500,308.167,0,0
50,0,98.000,98.000,98.000,630.167,283.500,0,0
51,0,120.000,120.000,120.000,632.500,263.167,0,0
52,0,114.000,114.000,114.000,636.500,243.500,0,0
53,0,118.000,118.000,118.000,642.167,223.833,0,0
54,0,177.000,177.000,177.000,650.167,201.833,0,0
55,0,110.000,110.000,110.000,660.167,184.500,0,0
56,0,111.000,111.000,111.000,671.833,166.833,0,0
57,0,121.000,121.000,121.000,678.833,159.500,0,0
58,0,115.000,115.000,115.000,690.833,150.167,0,0
59,0,141.000,141.000,141.000,703.833,142.167,0,0
60,0,160.000,160.000,160.000,716.500,137.833,0,0
61,0,143.000,143.000,143.000,729.167,138.833,0,0
62,0,156.000,156.000,156.000,798.833,338.500,0,0
63,0,101.000,101.000,101.000,802.250,325.750,0,0
64,0,197.000,197.000,197.000,803.250,314.750,0,0
65,0,145.000,145.000,145.000,804.500,302.750,0,0
66,0,116.000,116.000,116.000,807.500,290.500,0,0
67,0,197.000,197.000,197.000,810.250,274.000,0,0
68,0,112.000,112.000,112.000,814.750,260.500,0,0
69,0,109.000,109.000,109.000,819.750,246.000,0,0
70,0,113.000,113.000,113.000,826.750,234.000,0,0
71,0,111.000,111.000,111.000,834.750,223.250,0,0
72,0,179.000,179.000,179.000,847.250,212.750,0,0
73,0,132.000,132.000,132.000,866.000,209.000,0,0
74,0,132.000,132.000,132.000,881.250,209.000,0,0
75,0,181.000,181.000,181.000,895.750,209.500,0,0
76,0,184.000,184.000,184.000,907.250,208.000,0,0
77,0,94.000,94.000,94.000,935.750,346.750,0,0
78,0,201.000,201.000,201.000,937.750,335.250,0,0
79,0,167.000,167.000,167.000,940.000,320.250,0,0
80,0,108.000,108.000,108.000,942.500,303.250,0,0
81,0,202.000,202.000,202.000,945.250,285.500,0,0
82,0,206.000,206.000,206.000,947.000,273.000,0,0
83,0,138.000,138.000,138.000,952.000,256.250,0,0
84,0,171.000,171.000,171.000,957.000,243.000,0,0
85,0,99.000,99.000,99.000,963.500,233.000,0,0
86,0,141.000,141.000,141.000,972.750,223.250,0,0
87,0,146.000,146.000,146.000,984.167,217.833,0,0
88,0,138.000,138.000,138.000,996.833,215.500,0,0
89,0,184.000,184.000,184.000,1008.167,213.167,0,0
90,0,144.000,144.000,144.000,1018.833,208.833,0,0
91,0,129.000,129.000,129.000,1030.833,207.167,0,0
92,0,132.000,132.000,132.000,1041.833,206.833,0,0
93,0,104.000,104.000,104.000,1114.000,347.500,0,0
94,0,107.000,107.000,107.000,1116.500,335.833,0,0
95,0,107.000,107.000,107.000,1118.500,323.500,0,0
96,0,160.000,160.000,160.000,1120.167,311.500,0,0
97,0,107.000,107.000,107.000,1123.167,298.167,0,0
98,0,108.000,108.000,108.000,1126.833,281.167,0,0
99,0,125.000,125.000,125.000,1130.500,271.167,0,0
100,0,98.000,98.000,98.000,1139.167,257.833,0,0
101,0,178.000,178.000,178.000,1151.500,246.167,0,0
102,0,158.000,158.000,158.000,1165.500,242.833,0,0
103,0,135.000,135.000,135.000,1181.167,244.167,0,0
104,0,197.000,197.000,197.000,1193.500,239.167,0,0
105,0,207.000,207.000,207.000,1205.500,237.500,0,0
106,0,98.000,98.000,98.000,1238.833,346.833,0,0
107,0,98.000,98.000,98.000,1240.500,332.500,0,0
108,0,200.000,200.000,200.000,1241.500,315.833,0,0
109,0,101.000,101.000,101.000,1243.833,303.167,0,0
110,0,99.000,99.000,99.000,1246.833,287.167,0,0
111,0,107.000,107.000,107.000,1251.833,270.167,0,0
112,0,107.000,107.000,107.000,1257.167,258.833,0,0
113,0,119.000,119.000,119.000,1267.500,246.500,0,0
114,0,124.000,124.000,124.000,1282.833,247.167,0,0
115,0,136.000,136.000,136.000,1300.833,245.500,0,0
116,0,98.000,98.000,98.000,1317.167,245.500,0,0
117,0,144.000,144.000,144.000,1329.167,245.500,0,0
118,0,161.000,161.000,161.000,1344.833,247.167,0,0
119,0,105.000,105.000,105.000,1380.500,346.500,0,0
120,0,153.000,153.000,153.000,1382.167,329.500,0,0
121,0,104.000,104.000,104.000,1384.833,317.833,0,0
122,0,122.000,122.000,122.000,1386.500,305.167,0,0
123,0,135.000,135.000,135.000,1388.167,294.500,0,0
124,0,125.000,125.000,125.000,1391.167,282.167,0,0
125,0,103.000,103.000,103.000,1393.500,274.500,0,0
126,0,108.000,108.000,108.000,1398.833,264.167,0,0
127,0,141.000,141.000,141.000,1407.833,260.167,0,0
128,0,147.000,147.000,147.000,1486.500,33.500,0,0
129,0,140.000,140.000,140.000,1488.833,45.833,0,0
130,0,159.000,159.000,159.000,1491.500,62.167,0,0
131,0,127.000,127.000,127.000,1493.167,78.833,0,0
132,0,58.000,58.000,58.000,1495.167,95.500,0,0
133,0,194.000,194.000,194.000,1497.500,111.167,0,0
134,0,218.000,218.000,218.000,1498.833,122.500,0,0
135,0,202.000,202.000,202.000,1500.833,134.500,0,0
136,0,206.000,206.000,206.000,1501.500,143.833,0,0
137,0,224.000,224.000,224.000,1503.167,153.500,0,0
138,0,182.000,182.000,182.000,1504.833,163.833,0,0
139,0,176.000,176.000,176.000,1505.833,172.167,0,0
140,0,196.000,196.000,196.000,1507.167,181.500,0,0
141,0,168.000,168.000,168.000,1508.167,189.167,0,0
142,0,219.000,219.000,219.000,1509.833,198.167,0,0
143,0,186.000,186.000,186.000,1511.167,206.167,0,0
144,0,107.000,107.000,107.000,1512.167,213.167,0,0
145,0,226.000,226.000,226.000,1514.500,222.167,0,0
146,0,232.000,232.000,232.000,1517.167,231.167,0,0
147,0,153.000,153.000,153.000,1519.167,240.500,0,0
148,0,136.000,136.000,136.000,1521.167,247.833,0,0
149,0,209.000,209.000,209.000,1524.500,254.500,0,0
150,0,187.000,187.000,187.000,1528.500,261.167,0,0
151,0,215.000,215.000,215.000,1533.833,265.500,0,0
152,0,170.000,170.000,170.000,1540.833,268.500,0,0
153,0,197.000,197.000,197.000,1709.167,40.167,0,0
154,0,223.000,223.000,223.000,1711.833,52.500,0,0
155,0,81.000,81.000,81.000,1713.167,63.833,0,0
156,0,51.000,51.000,51.000,1715.167,75.167,0,0
157,0,207.000,207.000,207.000,1716.833,85.500,0,0
158,0,153.000,153.000,153.000,1718.167,96.167,0,0
159,0,123.000,123.000,123.000,1719.167,108.167,0,0
160,0,208.000,208.000,208.000,1720.833,117.833,0,0
161,0,161.000,161.000,161.000,1722.500,128.167,0,0
162,0,171.000,171.000,171.000,1723.500,141.167,0,0
163,0,99.000,99.000,99.000,1725.167,152.833,0,0
164,0,202.000,202.000,202.000,1726.833,163.833,0,0
165,0,225.000,225.000,225.000,1727.833,174.167,0,0
166,0,162.000,162.000,162.000,1728.500,182.833,0,0
167,0,198.000,198.000,198.000,1730.833,193.500,0,0
168,0,220.000,220.000,220.000,1732.167,202.833,0,0
169,0,185.000,185.000,185.000,1733.500,212.167,0,0
170,0,224.000,224.000,224.000,1734.833,221.167,0,0
171,0,93.000,93.000,93.000,1736.167,232.833,0,0
172,0,186.000,186.000,186.000,1737.833,241.833,0,0
173,0,176.000,176.000,176.000,1740.500,252.167,0,0
174,0,194.000,194.000,194.000,1742.833,261.833,0,0
175,0,204.000,204.000,204.000,1744.500,269.167,0,0
176,0,116.000,116.000,116.000,1746.167,275.833,0,0
177,0,159.000,159.000,159.000,1749.500,282.833,0,0
178,0,114.000,114.000,114.000,1753.833,289.500,0,0
179,0,72.000,72.000,72.000,1760.500,292.833,0,0
180,0,203.000,203.000,203.000,1937.833,34.833,0,0
181,0,220.000,220.000,220.000,1939.833,44.500,0,0
182,0,211.000,211.000,211.000,1941.167,52.833,0,0
183,0,214.000,214.000,214.000,1942.833,60.833,0,0
184,0,240.000,240.000,240.000,1943.833,70.833,0,0
185,0,132.000,132.000,132.000,1945.167,80.833,0,0
186,0,212.000,212.000,212.000,1946.500,90.167,0,0
187,0,205.000,205.000,205.000,1947.500,100.500,0,0
188,0,243.000,243.000,243.000,1948.833,111.833,0,0
189,0,159.000,159.000,159.000,1949.833,123.500,0,0
190,0,138.000,138.000,138.000,1951.167,133.500,0,0
191,0,216.000,216.000,216.000,1952.500,143.167,0,0
192,0,93.000,93.000,93.000,1953.167,153.500,0,0
193,0,211.000,211.000,211.000,1954.500,164.167,0,0
194,0,210.000,210.000,210.000,1955.500,173.833,0,0
195,0,210.000,210.000,210.000,1956.500,182.500,0,0
196,0,160.000,160.000,160.000,1957.500,191.167,0,0
197,0,178.000,178.000,178.000,1958.833,201.167,0,0
198,0,189.000,189.000,189.000,1960.167,210.833,0,0
199,0,178.000,178.000,178.000,1960.833,219.167,0,0
200,0,175.000,175.000,175.000,1963.167,228.833,0,0
201,0,177.000,177.000,177.000,1963.833,239.833,0,0
202,0,188.000,188.000,188.000,1966.167,248.833,0,0
203,0,213.000,213.000,213.000,1966.500,255.500,0,0
204,0,191.000,191.000,191.000,1968.833,264.167,0,0
205,0,178.000,178.000,178.000,1971.167,273.500,0,0
206,0,200.000,200.000,200.000,1973.833,281.833,0,0
207,0,186.000,186.000,186.000,1976.500,289.500,0,0
208,0,195.000,195.000,195.000,1980.833,296.167,0,0
209,0,101.000,101.000,101.000,1987.833,300.833,0,0
210,0,209.000,209.000,209.000,2121.167,28.500,0,0
211,0,209.000,209.000,209.000,2122.833,39.167,0,0
