 ,Area,Mean,Min,Max,X,Y
1,0,202,202,202,50.000,344.000
2,0,91,91,91,54.500,319.500
3,0,107,107,107,57.500,290.167
4,0,109,109,109,61.500,259.500
5,0,210,210,210,64.167,236.833
6,0,109,109,109,70.167,211.500
7,0,103,103,103,76.167,191.500
8,0,101,101,101,81.500,168.833
9,0,221,221,221,84.833,150.167
10,0,98,98,98,90.833,129.500
11,0,215,215,215,96.167,106.833
12,0,98,98,98,105.500,79.500
13,0,121,121,121,110.833,59.500
14,0,109,109,109,121.500,41.500
15,0,97,97,97,130.833,32.167
16,0,105,105,105,142.833,22.167
17,0,113,113,113,156.833,9.500
18,0,138,138,138,171.500,7.500
19,0,98,98,98,260.833,351.500
20,0,100,100,100,262.833,332.833
21,0,104,104,104,264.167,312.833
22,0,153,153,153,266.167,292.167
23,0,141,141,141,268.833,264.833
24,0,113,113,113,273.500,235.500
25,0,114,114,114,278.833,209.500
26,0,227,227,227,282.167,179.500
27,0,83,83,83,288.167,156.833
28,0,101,101,101,294.167,136.833
29,0,87,87,87,304.167,110.167
30,0,226,226,226,314.833,90.167
31,0,139,139,139,326.167,76.833
32,0,164,164,164,340.833,62.167
33,0,200,200,200,358.833,49.500
34,0,237,237,237,378.167,46.833
35,0,158,158,158,400.167,50.833
36,0,98,98,98,499.500,347.500
37,0,107,107,107,502.167,318.833
38,0,108,108,108,506.167,288.833
39,0,108,108,108,509.500,265.500
40,0,108,108,108,514.833,238.167
41,0,109,109,109,520.833,213.500
42,0,108,108,108,527.500,192.833
43,0,107,107,107,534.833,175.500
44,0,130,130,130,546.833,157.500
45,0,204,204,204,567.500,146.167
46,0,101,101,101,590.167,145.500
47,0,109,109,109,614.167,150.833
48,0,135,135,135,634.167,156.833
49,0,104,104,104,709.500,349.833
50,0,104,104,104,712.167,331.833
51,0,107,107,107,715.500,309.833
52,0,106,106,106,720.833,281.167
53,0,113,113,113,725.500,263.167
54,0,99,99,99,732.833,243.833
55,0,126,126,126,744.833,228.500
56,0,144,144,144,764.167,220.500
57,0,218,218,218,786.833,220.500
58,0,201,201,201,815.500,226.500
