 ,Area,Mean,Min,Max,X,Y,Slice
1,0,173,173,173,171.000,714.000,1
2,0,199,199,199,172.500,697.500,1
3,0,208,208,208,173.500,679.500,1
4,0,215,215,215,175.500,661.500,1
5,0,208,208,208,176.500,641.500,1
6,0,215,215,215,177.500,622.500,1
7,0,215,215,215,177.500,602.500,1
8,0,215,215,215,178.500,585.500,1
9,0,222,222,222,178.500,566.500,1
10,0,215,215,215,179.500,548.500,1
11,0,215,215,215,179.500,526.500,1
12,0,218,218,218,181.500,504.500,1
13,0,218,218,218,180.500,485.500,1
14,0,215,215,215,182.500,467.500,1
15,0,213,213,213,182.500,448.500,1
16,0,215,215,215,183.500,428.500,1
17,0,215,215,215,183.500,408.500,1
18,0,215,215,215,184.500,388.500,1
19,0,213,213,213,184.500,366.500,1
20,0,213,213,213,185.500,347.500,1
21,0,213,213,213,186.500,325.500,1
22,0,206,206,206,187.500,310.500,1
23,0,213,213,213,188.500,291.500,1
24,0,213,213,213,189.500,275.500,1
25,0,214,214,214,190.500,259.500,1
26,0,213,213,213,192.500,245.500,1
27,0,207,207,207,193.500,236.500,1
28,0,177,177,177,401.500,713.500,1
29,0,186,186,186,402.500,700.500,1
30,0,178,178,178,403.500,684.500,1
31,0,192,192,192,404.500,672.500,1
32,0,199,199,199,405.500,658.500,1
33,0,199,199,199,405.500,645.500,1
34,0,218,218,218,406.500,626.500,1
35,0,205,205,205,407.500,610.500,1
36,0,213,213,213,407.500,593.500,1
37,0,207,207,207,408.500,581.500,1
38,0,205,205,205,409.500,566.500,1
39,0,206,206,206,409.500,551.500,1
40,0,206,206,206,409.500,535.500,1
41,0,207,207,207,410.500,525.500,1
42,0,206,206,206,410.500,507.500,1
43,0,204,204,204,411.500,492.500,1
44,0,201,201,201,412.500,475.500,1
45,0,199,199,199,413.500,457.500,1
46,0,203,203,203,413.500,438.500,1
47,0,205,205,205,414.500,421.500,1
48,0,210,210,210,414.500,405.500,1
49,0,202,202,202,415.500,389.500,1
50,0,204,204,204,415.500,367.500,1
51,0,200,200,200,416.500,353.500,1
52,0,202,202,202,417.500,333.500,1
53,0,190,190,190,418.500,318.500,1
54,0,194,194,194,418.500,296.500,1
55,0,194,194,194,419.500,281.500,1
56,0,206,206,206,419.500,263.500,1
57,0,218,218,218,420.500,249.500,1
58,0,215,215,215,421.500,236.500,1
59,0,154,154,154,747.500,657.500,1
60,0,196,196,196,749.500,645.500,1
61,0,175,175,175,751.500,628.500,1
62,0,191,191,191,751.500,606.500,1
63,0,197,197,197,752.500,595.500,1
64,0,203,203,203,753.500,580.500,1
65,0,200,200,200,754.500,566.500,1
66,0,198,198,198,754.500,546.500,1
67,0,204,204,204,755.500,530.500,1
68,0,215,215,215,756.500,515.500,1
69,0,215,215,215,757.500,498.500,1
70,0,213,213,213,757.500,482.500,1
71,0,213,213,213,757.500,463.500,1
72,0,219,219,219,758.500,448.500,1
73,0,217,217,217,759.500,430.500,1
74,0,217,217,217,759.500,415.500,1
75,0,199,199,199,761.500,394.500,1
76,0,208,208,208,761.500,376.500,1
77,0,204,204,204,761.500,357.500,1
78,0,199,199,199,762.500,348.500,1
79,0,204,204,204,762.500,330.500,1
80,0,199,199,199,763.500,311.500,1
81,0,186,186,186,764.500,291.500,1
82,0,194,194,194,765.500,273.500,1
83,0,203,203,203,766.500,257.500,1
84,0,191,191,191,766.500,243.500,1
85,0,204,204,204,766.500,229.500,1
86,0,183,183,183,971.500,701.500,1
87,0,207,207,207,973.500,685.500,1
88,0,212,212,212,973.500,666.500,1
89,0,216,216,216,974.500,648.500,1
90,0,181,181,181,974.500,628.500,1
91,0,199,199,199,975.500,610.500,1
92,0,193,193,193,975.500,590.500,1
93,0,186,186,186,975.500,573.500,1
94,0,191,191,191,976.500,555.500,1
95,0,193,193,193,977.500,539.500,1
96,0,191,191,191,977.500,517.500,1
97,0,202,202,202,978.500,496.500,1
98,0,202,202,202,979.500,475.500,1
99,0,192,192,192,979.500,453.500,1
100,0,202,202,202,980.500,439.500,1
101,0,193,193,193,980.500,419.500,1
102,0,148,148,148,979.500,397.500,1
103,0,193,193,193,982.500,382.500,1
104,0,187,187,187,983.500,367.500,1
105,0,190,190,190,984.500,351.500,1
106,0,180,180,180,984.500,331.500,1
107,0,188,188,188,984.500,310.500,1
108,0,188,188,188,986.500,293.500,1
109,0,188,188,188,986.500,272.500,1
110,0,201,201,201,987.500,256.500,1
111,0,214,214,214,988.500,239.500,1
