 ,Area,Mean,Min,Max,X,Y
1,0,175,175,175,97.000,784.000
2,0,183,183,183,106.167,760.167
3,0,179,179,179,114.167,722.833
4,0,188,188,188,115.500,684.167
5,0,186,186,186,123.500,642.833
6,0,187,187,187,127.500,600.167
7,0,176,176,176,139.500,560.167
8,0,165,165,165,158.167,526.833
9,0,162,162,162,163.500,498.833
10,0,168,168,168,171.500,457.500
11,0,160,160,160,180.833,430.833
12,0,157,157,157,191.500,401.500
13,0,165,165,165,203.500,366.833
14,0,163,163,163,222.167,342.833
15,0,171,171,171,236.833,310.833
16,0,182,182,182,255.500,284.167
17,0,178,178,178,267.500,262.833
18,0,178,178,178,280.833,244.167
19,0,191,191,191,300.833,221.500
20,0,184,184,184,319.500,192.167
21,0,193,193,193,343.500,156.167
22,0,194,194,194,360.833,132.167
23,0,185,185,185,372.833,102.833
24,0,195,195,195,383.500,77.500
25,0,187,187,187,394.167,49.500
26,0,187,187,187,404.833,33.500
