 ,Area,X,Y
1,0,728.000,729.000
2,0,728.833,565.167
3,0,728.833,421.167
4,0,730.167,334.500
5,0,731.500,271.833
6,0,732.833,187.833
7,0,731.500,137.167
8,0,732.833,83.833
9,0,732.833,41.167
10,0,734.167,18.500
11,0,692.833,739.833
12,0,688.833,582.500
13,0,694.167,433.167
14,0,691.500,353.167
15,0,690.167,307.833
16,0,691.500,241.167
17,0,691.500,183.833
18,0,691.500,138.500
19,0,691.500,95.833
20,0,691.500,49.167
21,0,646.167,755.833
22,0,643.500,591.833
23,0,638.167,439.833
24,0,639.500,377.167
25,0,638.167,330.500
26,0,636.833,270.500
27,0,636.833,223.833
28,0,638.167,179.833
29,0,635.500,134.500
30,0,636.833,91.833
31,0,635.500,50.500
32,0,638.167,18.500
33,0,598.167,619.833
34,0,595.500,490.500
35,0,595.500,406.500
36,0,594.167,365.167
37,0,595.500,327.833
38,0,594.167,269.167
39,0,598.167,221.167
40,0,595.500,182.500
41,0,596.833,138.500
42,0,595.500,94.500
43,0,594.167,55.833
44,0,594.167,22.500
45,0,554.167,653.167
46,0,556.833,505.167
47,0,554.167,450.500
48,0,562.167,402.500
49,0,559.500,355.833
50,0,562.167,311.833
51,0,556.833,249.167
52,0,558.167,206.500
53,0,558.167,169.167
54,0,559.500,129.167
55,0,559.500,83.833
56,0,558.167,41.167
57,0,558.167,14.500
58,0,515.500,693.167
59,0,515.500,539.833
60,0,516.833,501.167
61,0,516.833,459.833
62,0,516.833,411.833
63,0,522.167,353.167
64,0,520.833,298.500
65,0,514.167,247.833
66,0,516.833,205.167
67,0,516.833,159.833
68,0,516.833,115.833
69,0,516.833,73.167
70,0,518.167,39.833
71,0,518.167,19.833
72,0,487.500,727.833
73,0,480.833,585.167
74,0,480.833,535.833
75,0,480.833,497.167
76,0,480.833,450.500
77,0,483.500,399.833
78,0,483.500,346.500
79,0,480.833,289.167
80,0,478.167,246.500
81,0,478.167,185.167
82,0,479.500,133.167
83,0,479.500,87.833
84,0,482.167,55.833
85,0,480.833,37.167
86,0,482.167,15.833
87,0,459.500,758.500
88,0,458.167,637.167
89,0,458.167,574.500
90,0,459.500,529.167
91,0,455.500,474.500
92,0,455.500,427.833
93,0,456.833,365.167
94,0,456.833,323.833
95,0,452.833,273.167
96,0,447.500,218.500
97,0,450.167,163.833
98,0,452.833,117.167
99,0,452.833,79.833
100,0,451.500,49.167
101,0,451.500,31.833
102,0,451.500,18.500
103,0,430.167,693.167
104,0,428.833,629.167
105,0,426.167,562.500
106,0,426.167,506.500
107,0,427.500,454.500
108,0,427.500,393.167
109,0,427.500,343.833
110,0,424.833,297.167
111,0,426.167,245.167
112,0,424.833,189.167
113,0,420.833,131.833
114,0,420.833,99.833
115,0,422.167,69.167
116,0,422.167,50.500
117,0,422.167,30.500
